model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
BiomedCLIP,clean,Pneumonia,Age,0.06897737729241693,0.02399644940678685,0.12846879880891046,0.02731572080887157,0.16153591525984778,0.16153591525984778,0.02731572080887157,0.04103371441149585
BiomedCLIP,clean,Pneumonia,Race,0.13862781954887216,0.03702557008477927,0.2799276029264852,0.19047619047619047,0.0643274853801169,0.0643274853801169,0.19047619047619047,0.11414281924842978
BiomedCLIP,clean,Pneumothorax,Gender,0.04485504052539857,0.024836889148282935,0.06392310173324595,0.04461052961927625,0.027423158778725254,0.027423158778725254,0.04461052961927625,0.005937182481615438
BiomedCLIP,clean,Pneumothorax,Age,0.017361145860899097,0.004516668348879133,0.045972537306718624,0.062428417690608806,0.035839938933163396,0.035839938933163396,0.062428417690608806,0.010555944982470065
BiomedCLIP,clean,Pneumothorax,Race,0.07656301855581782,0.03552740128994985,0.13000283797557147,0.16010151164073705,0.15423571032898498,0.15423571032898498,0.16010151164073705,0.03731841488463073
BiomedCLIP,clean,Support Devices,Gender,0.03523615853696871,0.002365467088535034,0.08364293925387149,0.014136751040275453,0.007692307692307776,0.007692307692307776,0.014136751040275453,0.00029927744816945004
BiomedCLIP,clean,Support Devices,Age,0.015344745716689423,0.0063950278467479445,0.08107152003318384,0.014051047961939012,0.034036433365292385,0.034036433365292385,0.014051047961939012,0.003111070758474067
BiomedCLIP,clean,Support Devices,Race,0.09040761405437825,0.025643868760138293,0.2233829758063874,0.03809393261433969,0.08054287163876206,0.08054287163876206,0.03809393261433969,0.008756118151696702
XRV-DenseNet-nih,clean,Atelectasis,Gender,0.06918783175486276,0.002916262483922769,0.17051505355744415,0.013643706298345437,0.15120967741935487,0.15120967741935487,0.013643706298345437,0.0069910282149075395
XRV-DenseNet-nih,clean,Atelectasis,Age,0.09693158916250422,0.03233131773848601,0.23277599169991128,0.16136175962765553,0.2371428571428571,0.2371428571428571,0.16136175962765553,0.0026253612702330947
XRV-DenseNet-nih,clean,Atelectasis,Race,0.04824052114666244,0.014079203185870718,0.22173210987494996,0.0723248484532113,0.2666666666666667,0.2666666666666667,0.0723248484532113,0.00042395043462721115
XRV-DenseNet-nih,clean,Cardiomegaly,Gender,0.025611167030204163,0.007289574585761749,0.04599972181680121,0.004629905670423762,0.04907279070878934,0.04907279070878934,0.004629905670423762,0.01298299286650858
XRV-DenseNet-nih,clean,Cardiomegaly,Age,0.09223536512856734,0.06596733638607823,0.11681523295852697,0.012223603374352798,0.2007634575569358,0.2007634575569358,0.012223603374352798,0.0051022095280129805
XRV-DenseNet-nih,clean,Cardiomegaly,Race,0.03382341069980799,0.013715406624983363,0.08581341844280246,0.066524580497752,0.023493007875270533,0.023493007875270533,0.066524580497752,0.05217828166188979
XRV-DenseNet-nih,clean,Consolidation,Gender,0.003347792792870119,0.0004511234702290007,0.024089137914149638,0.042785100427851,0.03825043654029925,0.03825043654029925,0.042785100427851,0.016956673961697852
XRV-DenseNet-nih,clean,Consolidation,Age,0.05441664693888948,0.03126003795168971,0.0804962597487032,0.035261024240920036,0.13245230959516674,0.13245230959516674,0.035261024240920036,0.01795606408928194
XRV-DenseNet-nih,clean,Consolidation,Race,0.04338904129889365,0.013625613540211157,0.10055753400849546,0.03799859427165697,0.053225528563341507,0.053225528563341507,0.03799859427165697,0.06374609961328698
XRV-DenseNet-nih,clean,Edema,Gender,0.008218463994884129,0.00045606207847866126,0.027101105914332676,0.029881264246589323,0.03488565388134601,0.03488565388134601,0.029881264246589323,0.0016533030701460505
