model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
ResNet50-ImageNet,respiratory_failure,binary,35471,0.16929292578993685,0.6517257726107181,0.6445994819678207,0.6589068247163842,0.265592831110109,0.6489833888591585,0.005740881345461338,0.6571978031581058,,,,,,,
ResNet50-ImageNet,aki,binary,35471,0.42907799881222286,0.7012446946015566,0.6958288645522615,0.7068121763696751,0.612351151255595,0.705375219103246,0.0010271539976312494,0.7074731789000217,,,,,,,
ResNet50-ImageNet,stroke,binary,35471,0.0635807580099097,0.597726866164491,0.5858214798181883,0.6095191565041934,0.07544590184332946,0.606830727145933,0.00403357729572352,0.6103936348850808,0.0,,,,,,
ResNet50-ImageNet,pulmonary_fibrosis,binary,35471,0.020716741155611812,0.6826925299590659,0.6648498856485837,0.7028602863418255,0.06750047272305632,0.7061755833415473,0.0038702130299568447,0.710900921330405,,,,,,,
ResNet50-ImageNet,liver_disease,binary,35471,0.09961722363589862,0.6958836643711677,0.6867775421937813,0.704608057133651,0.2504613425158827,0.7108944787386771,0.0006526907150032727,0.7133346041244921,,,,,,,
ResNet50-ImageNet,hyperlipidemia,binary,35471,0.4994949779567632,0.6920340624766244,0.6861836860583024,0.6970661577079386,0.6456808851329443,0.6955171868853943,0.0006779675163275557,0.6975647083503165,,,,,,,
ResNet50-ImageNet,asthma,binary,35471,0.16212724821508304,0.6168202388805467,0.6092129072251764,0.6244122180344731,0.2622868577085596,0.6203007341419466,0.003976932214142452,0.6294596944502158,0.0,,,,,,
ResNet50-ImageNet,age,regression,35471,,,,,,,,,,8.990731503850482,8.919923463825821,9.058127299312513,0.5863779408128187,8.790019422973632,0.031790066423660765
ResNet50-ImageNet,bmi,regression,28101,,,,,,,,,,3.7913319520884814,3.7526917004844034,3.828953149625744,0.5081263716513927,3.7283005883515137,0.007580644592358584
DINOv2-base,gender_binary,binary,35471,0.5384445321068306,0.9739374390858724,0.9724520559232309,0.9753762020403017,0.9766669249607223,0.9781181556281016,0.0004785984591255171,0.9784052289342421,,,,,,,
DINOv2-base,diabetes,binary,35471,0.32833368735450813,0.7181844242466162,0.7124484585223714,0.7240198559154447,0.5247403821842778,0.7275328230195308,0.000574086176838861,0.7290989780453734,,,,,,,
DINOv2-base,hypertension,binary,35471,0.5169084848038217,0.6309979627073384,0.6254856746341854,0.6366678050433436,0.6007732338583319,0.6349910840193653,0.0007399518870900464,0.6360895947182557,0.0,,,,,,
