policy,attribute,finding,abs_log_or
U-Zero,asthma,Enlarged Cardiomediastinum,0.10155873309023955
U-Zero,asthma,Lung Opacity,0.005762263986197864
U-Zero,asthma,Pleural Effusion,0.1759925131516186
U-Zero,asthma,Pneumonia,0.046087077318028205
U-Zero,asthma,Pneumothorax,0.1540681972295007
U-Zero,asthma,Support Devices,0.2003576431833896
U-Zero,respiratory_failure,Atelectasis,0.25414729239391204
U-Zero,respiratory_failure,Cardiomegaly,0.4714358751298365
U-Zero,respiratory_failure,Consolidation,0.519198107903305
U-Zero,respiratory_failure,Edema,0.5747865457373275
U-Zero,respiratory_failure,Enlarged Cardiomediastinum,0.049624645891276915
U-Zero,respiratory_failure,Lung Opacity,0.29594875346004185
U-Zero,respiratory_failure,Pleural Effusion,0.34918345292095226
U-Zero,respiratory_failure,Pneumonia,0.18853752027611004
U-Zero,respiratory_failure,Pneumothorax,0.0011202280184241223
U-Zero,respiratory_failure,Support Devices,0.40730542556341054
U-Zero,pulmonary_fibrosis,Atelectasis,0.5944767705069514
U-Zero,pulmonary_fibrosis,Cardiomegaly,0.25042717692156957
U-Zero,pulmonary_fibrosis,Consolidation,0.30074016726135566
U-Zero,pulmonary_fibrosis,Edema,0.43234988393697177
U-Zero,pulmonary_fibrosis,Enlarged Cardiomediastinum,0.2963158203323117
U-Zero,pulmonary_fibrosis,Lung Opacity,0.806706299330653
U-Zero,pulmonary_fibrosis,Pleural Effusion,0.33049521431734724
U-Zero,pulmonary_fibrosis,Pneumonia,0.4596486169489671
U-Zero,pulmonary_fibrosis,Pneumothorax,0.01591140356629898
U-Zero,pulmonary_fibrosis,Support Devices,0.07291515628159229
U-Zero,liver_disease,Atelectasis,0.2401206201615009
U-Zero,liver_disease,Cardiomegaly,0.12369538958796238
U-Zero,liver_disease,Consolidation,0.10253729976297295
U-Zero,liver_disease,Edema,0.288158061165205
U-Zero,liver_disease,Enlarged Cardiomediastinum,0.042637166348919016
U-Zero,liver_disease,Lung Opacity,0.10512818764265058
U-Zero,liver_disease,Pleural Effusion,0.33709970752277363
U-Zero,liver_disease,Pneumonia,0.09907327895739051
U-Zero,liver_disease,Pneumothorax,0.07518844415541182
U-Zero,liver_disease,Support Devices,0.3911806450320508
U-Zero,anemia,Atelectasis,0.37738439130962437
U-Zero,anemia,Cardiomegaly,0.529624502907406
U-Zero,anemia,Consolidation,0.48234188432009156
U-Zero,anemia,Edema,0.7159627349408548
U-Zero,anemia,Enlarged Cardiomediastinum,0.24003323946349106
U-Zero,anemia,Lung Opacity,0.3810552541202966
U-Zero,anemia,Pleural Effusion,0.7062086974560601
U-Zero,anemia,Pneumonia,0.2669709789986198
U-Zero,anemia,Pneumothorax,0.05543579439744249
U-Zero,anemia,Support Devices,0.538361980512104
U-Zero,smoking_history,Atelectasis,0.19517043849942617
U-Zero,smoking_history,Cardiomegaly,0.22638935844259944
U-Zero,smoking_history,Consolidation,0.0642653803348116
U-Zero,smoking_history,Edema,0.06284294968281876
U-Zero,smoking_history,Enlarged Cardiomediastinum,0.21141112901038273
U-Zero,smoking_history,Lung Opacity,0.04917332728724353
U-Zero,smoking_history,Pleural Effusion,0.3439165432025184
U-Zero,smoking_history,Pneumonia,0.038705163934802944
U-Zero,smoking_history,Pneumothorax,0.02751569484072845
U-Zero,smoking_history,Support Devices,0.12846454446112332
