attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
sex,demographic,BiomedCLIP,Enlarged Cardiomediastinum,0.786235,0.786848,-0.000613,0.0378315051463293,0.0378315051463293,1.0385562267556403,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Lung Opacity,0.756644,0.75602,0.000624,0.0503474365556622,0.0503474365556622,1.0516364098427675,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Pleural Effusion,0.892533,0.893514,-0.000981,0.0421568052089204,0.0421568052089204,1.043058022859335,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Pneumonia,0.764298,0.764314,-1.7e-05,0.142196743750504,0.142196743750504,1.1528034330980723,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Pneumothorax,0.707989,0.707838,0.000151,0.1428991384430347,0.1428991384430347,1.1536134405501774,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Support Devices,0.750065,0.749943,0.000122,0.0343495538164269,0.0343495538164269,1.0349463129400267,27.991858015520755,0.0546715976865639,3.3319136827290285
age,demographic,BiomedCLIP,Atelectasis,0.713849,0.694481,0.019368,0.0082997915981176,0.0082997915981176,1.0083343303571106,27.991858015520755,0.0546715976865639,3.3319136827290285
age,demographic,BiomedCLIP,Cardiomegaly,0.851057,0.821122,0.029935,0.5927949816694053,0.5927949816694053,1.8090375828289464,27.991858015520755,0.0546715976865639,3.3319136827290285
age,demographic,BiomedCLIP,Consolidation,0.885102,0.881105,0.003997,0.0408048836500813,0.0408048836500813,1.0416488429960586,27.991858015520755,0.0546715976865639,3.3319136827290285
age,demographic,BiomedCLIP,Edema,0.887578,0.87776,0.009818,0.3451058427560672,0.3451058427560672,1.4121393764816168,27.991858015520755,0.0546715976865639,3.3319136827290285
