model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
XRV-DenseNet-nih,race_black_vs_white,Enlarged Cardiomediastinum,0.5225034134109122,0.5230555828231809,-0.0005521694122686549
XRV-DenseNet-nih,race_black_vs_white,Lung Opacity,0.500583739922978,0.4978742944886225,0.002709445434355473
XRV-DenseNet-nih,race_black_vs_white,Pleural Effusion,0.5216855900829735,0.5218901824380155,-0.00020459235504199924
XRV-DenseNet-nih,race_black_vs_white,Pneumonia,0.5323597277798873,0.5315535823816339,0.0008061453982534106
XRV-DenseNet-nih,race_black_vs_white,Pneumothorax,0.5139269111132423,0.5132800489396885,0.0006468621735538083
XRV-DenseNet-nih,race_black_vs_white,Support Devices,0.4890245636978913,0.48816932290050385,0.0008552407973874687
XRV-DenseNet-nih,age,Atelectasis,0.5338971106412966,0.5267676767676768,0.0071294338736198615
XRV-DenseNet-nih,age,Cardiomegaly,0.5140633919716097,0.5156190142316076,-0.0015556222599979463
XRV-DenseNet-nih,age,Consolidation,0.49968559579026106,0.5016958772525315,-0.002010281462270447
XRV-DenseNet-nih,age,Edema,0.511348347622008,0.5124951578493859,-0.001146810227377948
XRV-DenseNet-nih,age,Enlarged Cardiomediastinum,0.5055771711931139,0.5045512789351596,0.0010258922579542418
XRV-DenseNet-nih,age,Lung Opacity,0.49437654490524574,0.49663482112631974,-0.002258276221073996
XRV-DenseNet-nih,age,Pleural Effusion,0.5159205127977806,0.5189578083313071,-0.003037295533526496
XRV-DenseNet-nih,age,Pneumonia,0.5197083683674825,0.5185179448599372,0.0011904235075452796
XRV-DenseNet-nih,age,Pneumothorax,0.5204174345638533,0.5210833399287693,-0.000665905364916064
XRV-DenseNet-nih,age,Support Devices,0.495854005149271,0.4984042322379079,-0.0025502270886368916
XRV-DenseNet-nih,bmi,Atelectasis,0.5001131703077327,0.5004028862955284,-0.0002897159877957023
XRV-DenseNet-nih,bmi,Cardiomegaly,0.5016541790977308,0.5024132274055992,-0.0007590483078684374
XRV-DenseNet-nih,bmi,Consolidation,0.5026886756177447,0.503115097401637,-0.00042642178389229457
XRV-DenseNet-nih,bmi,Edema,0.5091326694234801,0.5087033082216841,0.0004293612017960413
XRV-DenseNet-nih,bmi,Enlarged Cardiomediastinum,0.5149117874750438,0.5141107444077742,0.0008010430672696911
XRV-DenseNet-nih,bmi,Lung Opacity,0.4935567807553091,0.49628498521460684,-0.002728204459297723
XRV-DenseNet-nih,bmi,Pleural Effusion,0.5173166377540241,0.5174082013291792,-9.156357515505142e-05
XRV-DenseNet-nih,bmi,Pneumonia,0.5340974967061924,0.5365480895915679,-0.0024505928853754133
XRV-DenseNet-nih,bmi,Pneumothorax,0.5133194625361107,0.5148651396700628,-0.0015456771339520392
XRV-DenseNet-nih,bmi,Support Devices,0.5086366882380786,0.5074532514786498,0.0011834367594287798
